train,error_type,type,.y.,group1,group2,p,p.adj,p.format,p.signif,method
Test set,Proportions,Absolute,RMSE,Linear Regression,SVM,0.8822561654027739,0.99,0.88226,ns,T-test
Test set,Proportions,Absolute,RMSE,Linear Regression,Uncorrected,1.1137884351163552e-28,1.1e-26,< 2e-16,****,T-test
Test set,Proportions,Absolute,RMSE,Linear Regression,XGBOOST,0.5317511055129143,0.99,0.53175,ns,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,LASSO Regression,0.09648394055640137,0.99,0.09648,ns,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,metacal,6.365798370062866e-154,8.099999999999996e-152,< 2e-16,****,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,Random Forest,7.741395598509213e-79,8.699999999999998e-77,< 2e-16,****,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,SVM,0.02362750624637193,0.99,0.02363,*,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,Uncorrected,9.439547780855668e-190,1.1999999999999998e-187,< 2e-16,****,T-test
Training set,Proportions,Absolute,RMSE,Linear Regression,XGBOOST,1.3408195473116055e-21,1.2e-19,< 2e-16,****,T-test
Test set,Proportions,Relative,RMSE,Linear Regression,LASSO Regression,0.8322780424264509,0.99,0.83228,ns,T-test
Test set,Proportions,Relative,RMSE,Linear Regression,Random Forest,0.4299521536344819,0.99,0.42995,ns,T-test
Test set,Proportions,Relative,RMSE,Linear Regression,SVM,0.8822561654027739,0.99,0.88226,ns,T-test
Test set,Proportions,Relative,RMSE,Linear Regression,Uncorrected,1.1137884351163552e-28,1.1e-26,< 2e-16,****,T-test
Test set,Proportions,Relative,RMSE,Linear Regression,XGBOOST,0.5317511055129143,0.99,0.53175,ns,T-test
Training set,Proportions,Relative,RMSE,Linear Regression,LASSO Regression,0.09648394055640137,0.99,0.09648,ns,T-test
Training set,Proportions,Relative,RMSE,Linear Regression,Random Forest,7.741395598509213e-79,8.699999999999998e-77,< 2e-16,****,T-test
Training set,Proportions,Relative,RMSE,Linear Regression,SVM,0.02362750624637193,0.99,0.02363,*,T-test
Training set,Proportions,Relative,RMSE,Linear Regression,Uncorrected,9.439547780855668e-190,1.1999999999999998e-187,< 2e-16,****,T-test
Training set,Proportions,Relative,RMSE,Linear Regression,XGBOOST,1.3408195473116055e-21,1.2e-19,< 2e-16,****,T-test
