,Drosophila melanogaster,Drosophila simulans,Drosophila hydei,Scaptodrosophila lattivitata,Drosophila immigrans,Drosophila subpulchrella,Drosophila suzukii,Drosophila biarmipes,Other,Carpophilus davidsoni,Carpophilus nr.dimidiatus,Carpophilus hemipterus,Urophorus humeralis,Brachypeplus Sp,carpophilus other,Synthetic Drosophilidae,Synthetic Tephritidae,Synthetic Culicidae,Synthetic Nitidulidae,Synthetic Cerambycidae,Synthetic Tortricidae,Synthetic Crambidae,Synthetic Aphididae,Synthetic Triozidae,Synthetic Apidae,Synthetic Siricidae,Synthetic Acrididae,Synthetic Thripidae
T6ACV-ex1,,,,,,1,1,,70,,,,,,,,,,,,,,,,,,,
T6DC-ex1,,,,,,,,,190,,,,,,,,,,,,,,,,,,,
T6FF-ex1,,,,,,,,,350,,,,,,,,,,,,,,,,,,,
T6SPD-ex1,,,,,,1,,,280,,,,,,,,,,,,,,,,,,,
T8ACV-ex1,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T8DC-ex1,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
T8FF-ex1,,,,,,1,,,400,,,,,,,,,,,,,,,,,,,
T8SPD-ex1,,,,,,,1,,480,,,,,,,,,,,,,,,,,,,
M2ACV-ex2,,,,,,,1,1,75,,,,,,,,,,,,,,,,,,,
M2DC-ex2,,,,,,1,,1,175,,,,,,,,,,,,,,,,,,,
M2FF-ex2,,,,,,,,,45,,,,,,,,,,,,,,,,,,,
M4ACV-ex2,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
M4DC-ex2,,,,,,1,1,1,300,,,,,,,,,,,,,,,,,,,
M4FF-ex2,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,
M6ACV-ex2,,,,,,,,,45,,,,,,,,,,,,,,,,,,,
M6DC-ex2,,,,,,1,1,,180,,,,,,,,,,,,,,,,,,,
M6FF-ex2,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T10ACV-ex2,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
T10DC-ex2,,,,,,,,,130,,,,,,,,,,,,,,,,,,,
T10FF-ex2,,,,,,,,,200,,,,,,,,,,,,,,,,,,,
T10SPD-ex2,,,,,,,1,,490,,,,,,,,,,,,,,,,,,,
T2ACV-ex2,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
T2DC-ex2,,,,,,1,,1,120,,,,,,,,,,,,,,,,,,,
T2SPD-ex2,,,,,,,,1,340,,,,,,,,,,,,,,,,,,,
T4ACV-ex2,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T4DC-ex2,,,,,,,,,80,,,,,,,,,,,,,,,,,,,
T4FF-ex2,,,,,,1,1,,400,,,,,,,,,,,,,,,,,,,
T4SPD-ex2,,,,,,,,,119,,,,,,,,,,,,,,,,,,,
T6ACV-ex2,,,,,,1,1,,70,,,,,,,,,,,,,,,,,,,
T6DC-ex2,,,,,,,,,190,,,,,,,,,,,,,,,,,,,
T6FF-ex2,,,,,,,,,350,,,,,,,,,,,,,,,,,,,
T6SPD-ex2,,,,,,1,,,280,,,,,,,,,,,,,,,,,,,
T8ACV-ex2,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T8DC-ex2,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
T8FF-ex2,,,,,,1,,,400,,,,,,,,,,,,,,,,,,,
T8SPD-ex2,,,,,,,1,,480,,,,,,,,,,,,,,,,,,,
