Sample,Drosophila_melanogaster,Drosophila_simulans,Drosophila_hydei,Scaptodrosophila_lattivitata,Drosophila_immigrans,Drosophila_subpulchrella,Drosophila_suzukii,Drosophila_biarmipes,Other,Carpophilus_davidsoni,Carpophilus_nr.dimidiatus,Carpophilus_hemipterus,Urophorus_humeralis,Brachypeplus_Sp,carpophilus_other,Synthetic_Drosophilidae,Synthetic_Tephritidae,Synthetic_Culicidae,Synthetic_Nitidulidae,Synthetic_Cerambycidae,Synthetic_Tortricidae,Synthetic_Crambidae,Synthetic_Aphididae,Synthetic_Triozidae,Synthetic_Apidae,Synthetic_Siricidae,Synthetic_Acrididae,Synthetic_Thripidae,Carpophilus_nepos,Carpophilus_marginalus,Synthetic_denom
T6ACV,0,0,0,0,0,1,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6DC,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6FF,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6SPD,0,0,0,0,0,1,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8ACV,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8DC,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8FF,0,0,0,0,0,1,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8SPD,0,0,0,0,0,0,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT1,0,0,0,0,0,0,0,0,0,172,36,82,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CT2,0,0,0,0,0,0,0,0,0,32,25,123,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
CT3,0,0,0,0,0,0,0,0,0,83,5,178,3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0
CT4,0,0,0,0,0,0,0,0,0,22,2,151,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
CT5,0,0,0,0,0,0,0,0,0,108,25,77,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,3,0
CT6,0,0,0,0,0,0,0,0,0,40,0,118,3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3,0
CT7,0,0,0,0,0,0,0,0,0,25,22,184,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0
CT8,0,0,0,0,0,0,0,0,0,20,10,162,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1,0
CT9,0,0,0,0,0,0,0,0,0,11,32,187,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,5,0
CT10,0,0,0,0,0,0,0,0,0,0,12,323,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
CT11,0,0,0,0,0,0,0,0,0,5,14,332,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
CT12,0,0,0,0,0,0,0,0,0,0,1,343,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,88,0
